Number of Fairs Attended,Internship Applications,Job Applications,Fellowship Applications,Graduate School,Cooperative Education,Experiential Learning,On Campus Student Employment,Volunteer,First Gen,College_fds_2024,Number of Internships,Career Readiness,Alignment,Q10.4_fds_2024,Q10.5_fds_2024
1,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,False,,,,,,
1,4.0,6.0,0.0,0.0,0.0,0.0,50.0,0.0,True,,,,,,
16,63.0,414.0,0.0,3.0,0.0,0.0,3.0,0.0,True,,,,,,
36,168.0,132.0,0.0,0.0,0.0,20.0,8.0,0.0,False,,,,,,
3,10.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
8,104.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,123.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,True,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
28,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,False,,,,,,
3,66.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False,College and Graduate School of Arts & Sciences,2,7.0,6.0,6.0,7.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
5,30.0,3.0,0.0,0.0,0.0,33.0,0.0,0.0,False,School of Architecture,3+,9.0,10.0,10.0,9.0
4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,False,College and Graduate School of Arts & Sciences,,,,,
1,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
8,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,False,,,,,,
3,2.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
1,158.0,116.0,0.0,0.0,0.0,0.0,6.0,0.0,False,,,,,,
6,152.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
16,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
2,127.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,False,,,,,,
2,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
4,144.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
18,126.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False,College and Graduate School of Arts & Sciences,2,8.0,7.0,10.0,10.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
18,258.0,138.0,0.0,0.0,0.0,72.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,56.0,192.0,0.0,0.0,0.0,0.0,4.0,0.0,False,,,,,,
4,81.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
7,8.0,19.0,0.0,1.0,1.0,1.0,4.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,12.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
3,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,80.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
28,,,,,,,,,,,,,,,
1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,8.0,56.0,0.0,0.0,0.0,0.0,120.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,48.0,136.0,0.0,0.0,0.0,0.0,72.0,0.0,False,College and Graduate School of Arts & Sciences,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
2,12.0,72.0,12.0,0.0,0.0,0.0,0.0,0.0,False,College and Graduate School of Arts & Sciences,3+,10.0,8.0,6.0,7.0
1,,,,,,,,,,,,,,,
5,176.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,132.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0,False,School of Engineering & Applied Science,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,College and Graduate School of Arts & Sciences,2,7.0,7.0,8.0,8.0
1,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,14.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,False,School of Data Science,2,9.0,9.0,8.0,8.0
3,12.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,False,College and Graduate School of Arts & Sciences,2,7.0,9.0,7.0,8.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,12.0,1308.0,0.0,0.0,0.0,0.0,16.0,0.0,False,,,,,,
5,273.0,138.0,0.0,0.0,0.0,21.0,6.0,0.0,False,,,,,,
12,640.0,132.0,0.0,0.0,0.0,0.0,16.0,0.0,False,College and Graduate School of Arts & Sciences,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
8,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
2,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
22,0.0,208.0,0.0,0.0,0.0,4.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,False,College and Graduate School of Arts & Sciences,,,,,
