FIPS,Jurisdiction,Total Population,American Indian population,Asian population,Black population,Pacific Islander population,Two or more races population,White population,Hispanic population,Average Annual Pay,Percent without HS diploma,Percent with only HS diploma,Percent with some college,Percent with college degree,Number in poverty,Cost of living,Years of Potential Life Lost Rate,Percent Fair or Poor Health,Average Number of Mentally Unhealthy Days,Percent Adults Reporting Currently Smoking,Percent Adults with Obesity,Food Environment Index
51045,Craig County,4865,1.13,0.6,1.15,0.02,1.19,98.29,1.56,30619.164619164618,12.082853855005753,41.7433831990794,30.207134637514383,15.96662830840046,557.0,89.7342553662268,10865.799462,15.7,5.4088457056,18.0,37.6,8.3
51047,Culpeper County,53596,1.5,2.66,16.47,0.31,3.47,82.65,13.02,50348.05383775919,10.619693678955237,34.005584858827184,28.52791019095704,26.846811271260542,4647.0,97.4415537555694,7542.102524,15.2,4.8627012261,16.1,39.5,9.2
51049,Cumberland County,9681,1.58,0.85,31.79,0.12,2.61,68.29,3.36,35865.53524804178,13.9015939015939,34.67775467775468,32.889812889812895,18.53083853083853,1432.0,86.8943554658041,8903.4887128,16.4,5.1734893561,17.2,40.5,7.7
51051,Dickenson County,13787,0.59,0.32,1.02,0.04,0.78,98.82,1.04,36006.95825049702,18.633779747567203,39.33905000481742,30.60025050582908,11.4269197417863,2929.0,86.0620105318068,13898.396553,21.7,6.2029414783,24.2,38.2,
51053,Dinwiddie County,27912,1.03,1.4,32.49,0.22,2.0,66.95,4.12,46314.88916041194,10.456867900193462,39.48608561932635,32.20397837194305,17.85306810853713,3268.0,92.174944982591,10434.714431,17.1,5.2973181607,18.5,42.3,8.4
51057,Essex County,10573,2.03,1.73,39.25,0.43,3.48,60.12,4.44,37010.302640051515,17.392996108949415,36.329442282749675,30.959792477302205,15.317769130998704,1211.0,90.9769274051858,12276.044315,20.8,5.6698313412,20.7,43.9,7.1
51059,Fairfax County,1139720,1.25,23.34,12.12,0.26,4.15,67.58,16.63,96822.62412958268,6.4961286472436655,12.160226338999902,17.238669312740644,64.10497570101579,79572.0,117.515299770719,3592.2650568,10.4,4.0069644967,8.3,24.4,9.5
51061,Fauquier County,73815,1.21,2.63,9.55,0.28,3.0,89.48,10.39,56141.07345548889,7.762575212979328,24.33822507297893,28.472704887106065,39.42649482693568,4780.0,102.592430130262,6356.4044874,12.6,4.8066364209,12.9,33.8,9.5
51063,Floyd County,15566,0.89,0.85,3.07,0.08,1.85,97.03,2.77,32313.546977421705,9.156255348279993,38.01129556734554,29.6337497860688,23.198699298305662,1880.0,90.6386325411832,8161.5609522,15.5,5.5829778104,17.8,31.8,8.3
51065,Fluvanna County,27723,1.07,1.55,17.11,0.31,2.84,82.91,4.1,43778.66473149492,6.7144268774703555,25.024703557312257,32.4703557312253,35.790513833992094,2027.0,95.3858125959804,6629.0348405,13.0,4.9346301807,13.5,37.2,9.5
51067,Franklin County,54938,0.83,0.8,9.02,0.12,1.6,90.87,3.07,36263.76766818568,10.315250921676322,34.52461565470368,31.314423293958317,23.845710129661676,6052.0,89.5681451373897,9513.7435833,16.3,5.3190786572,17.8,36.3,8.0
51069,Frederick County,93717,0.99,2.71,6.64,0.22,2.52,92.08,10.61,51200.7365226583,11.314540800399575,31.21683211587688,28.37766123493788,29.090965848785665,6980.0,99.7319111574924,6841.9242895,14.2,4.8876048611,15.7,33.4,8.9
51071,Giles County,16562,0.76,0.83,2.5,0.07,1.42,97.34,1.93,48016.39792292976,9.594460929772502,40.78470161556215,30.36597428288823,19.254863171777117,1934.0,84.811418111747,11253.040181,16.4,5.4708814912,19.0,35.5,8.9
51073,Gloucester County,39069,1.29,1.62,9.37,0.24,2.68,90.31,4.12,34757.47111170142,10.055885681946803,30.38695529145444,34.05843237125071,25.498726655348047,3252.0,93.5279175941029,8294.8937258,14.1,5.0870332001,16.1,35.1,9.0
51075,Goochland County,25488,0.93,2.46,15.87,0.17,1.91,82.56,3.49,133164.27115454973,5.794025574361967,23.213243487027114,26.555950549159018,44.436780389451904,1549.0,95.0461270086069,6539.2067864,11.8,4.5529716555,12.3,33.6,9.6
51077,Grayson County,15359,0.89,0.48,7.1,0.13,1.58,93.0,3.93,37029.36507936508,16.959809669470644,39.53606933469283,29.39926926671765,14.104851729118872,2527.0,84.7731158836076,8739.6494129,20.1,5.653949688,22.0,36.7,7.4
51079,Greene County,20968,1.14,2.99,9.69,0.22,2.86,88.92,7.03,35665.679499835474,10.681849937124493,32.34595500908202,29.083414838619532,27.88878021517396,1630.0,93.4499262977772,6017.9237334,14.8,5.0434104066,15.7,34.0,8.5
51081,Greensville County,11437,0.66,0.96,61.12,0.17,1.2,38.31,2.78,33844.280121792086,20.304332675107446,39.249622488093856,27.01823672900453,13.42780810779417,1945.0,87.7176499237803,11937.012828,22.8,5.0905301389,21.8,45.6,9.5
51083,Halifax County,33738,0.83,0.93,37.15,0.13,1.69,62.71,2.46,42783.07595993322,17.84395666815434,36.06929849474581,29.001501196900232,17.085243640199618,5290.0,85.6848503113919,13467.630364,20.7,5.9708244168,20.7,44.0,7.7
51085,Hanover County,111603,0.99,2.85,10.62,0.21,2.09,87.51,3.51,49787.07000063197,5.598513301017557,24.34599539955035,28.21349205317808,41.84199924625401,7297.0,97.9071949247137,6728.8773409,12.5,4.6302802145,12.8,31.9,9.3
51087,Henrico County,333554,1.04,10.81,32.49,0.18,2.75,58.53,6.28,63147.69945173044,7.117268041237114,21.70876288659794,25.788659793814432,45.38530927835052,23099.0,99.5836030799225,7261.8553173,13.8,5.1036809172,13.2,36.5,9.0
51089,Henry County,50248,0.96,0.78,24.21,0.16,2.1,76.05,6.17,35487.58322836063,18.722072084124903,36.0447381799695,30.837770583041234,14.395419152864367,8421.0,83.858673127526,14493.412202,22.1,5.8557931881,22.0,41.9,7.0
51091,Highland County,2226,0.4,1.03,1.12,0.0,0.4,97.84,1.48,34279.74276527331,9.965034965034965,37.52913752913753,21.853146853146853,30.65268065268065,290.0,88.4176619196784,,15.2,5.5102761129,17.7,34.4,5.1
51093,Isle of Wight County,39278,1.25,2.01,24.33,0.25,2.76,75.05,4.17,43935.95551894564,8.813510703144608,28.785542687080927,32.618595145039265,29.7823514647352,3205.0,96.0524149005997,7550.6792715,15.0,4.9555945379,15.4,37.9,8.9
51095,James City County,79882,1.13,4.12,15.44,0.33,3.04,82.3,6.62,44793.88964888281,4.255282149378315,19.285279540909485,26.44291800712982,50.01652030258238,5538.0,103.312806533228,5194.4471382,11.8,4.6142111222,11.7,33.5,8.5
51097,King and Queen County,6662,2.97,1.23,26.46,0.23,3.39,72.58,3.8,43854.07066052227,13.5690947530271,33.07707092062272,30.789928887180473,22.56390543916971,938.0,93.2147540820973,13008.935588,17.5,5.3284179431,18.1,39.5,8.9
51099,King George County,27489,1.76,2.89,18.23,0.38,3.74,80.68,6.6,55911.16173120729,9.67795761722009,27.632237610545634,27.832471216419158,34.85733355581512,1776.0,96.9371016217711,7759.2165961,14.0,4.8375488407,14.3,36.3,9.6
51101,King William County,18171,2.39,1.93,16.49,0.21,2.6,81.66,3.05,45419.81468282252,6.509258510552277,35.11765181531495,33.565133015282605,24.807956658850166,1280.0,94.2623556356762,9682.9403372,14.5,5.5005423877,16.2,38.9,9.3
51103,Lancaster County,10928,0.68,1.06,29.02,0.05,1.35,70.59,2.58,41445.641762452105,13.640004577182744,28.859137201052754,25.197391005835907,32.30346721592859,1291.0,90.4570437562029,10785.095538,16.1,5.1876558913,16.4,37.3,8.9
51105,Lee County,21983,0.91,0.62,4.4,0.1,1.13,95.12,2.04,33901.676483914816,18.25392056720543,36.66406296941657,33.56366039776483,11.51835606561317,5178.0,82.9829717955018,12412.520683,22.7,6.1906812665,24.8,42.4,7.0
51107,Loudoun County,427592,1.1,24.33,9.72,0.27,4.17,69.16,13.89,69129.45115578134,5.640995560378486,11.32378441989801,19.531035190691092,63.50418482903242,15315.0,115.246495185707,3243.2518516,10.5,4.1512589546,8.6,29.6,9.9
51109,Louisa County,38848,1.1,1.26,16.78,0.21,2.68,83.46,3.6,53099.50501332656,11.352804156961117,33.76455832288121,29.048557606163772,25.834079913993907,3873.0,94.1931394849919,9455.697342,16.1,5.0299938209,17.4,35.6,9.1
51111,Lunenburg County,11926,1.45,1.01,34.63,0.34,2.79,65.47,6.0,38625.178826895564,21.25241504716445,36.447323559495395,31.196726900784178,11.103534492555973,2045.0,85.9413163449172,12374.391145,22.0,5.5311695222,22.0,42.5,8.8
51113,Madison County,13942,1.05,1.14,10.47,0.12,2.73,90.0,3.51,37099.41291585127,12.990608007909046,34.84923381117152,27.661888284725656,24.498269896193772,1294.0,91.3565518006901,8415.8508779,16.0,5.5335285687,17.5,37.5,9.4
51115,Mathews County,8546,1.4,1.45,9.6,0.29,2.55,89.91,3.28,32575.553416746872,5.7478368355995055,31.396786155747836,33.05006180469716,29.8053152039555,776.0,92.8820277429406,9920.5364775,14.1,4.9711327327,15.0,36.9,9.2
51117,Mecklenburg County,30248,1.0,1.12,35.04,0.15,1.92,64.69,3.11,36713.680244878735,13.518763796909491,34.27373068432671,30.73730684326711,21.47019867549669,4619.0,86.5706404303827,11868.307187,19.0,4.9910201581,19.5,40.2,7.5
51119,Middlesex County,10781,1.31,0.97,17.14,0.11,2.37,82.91,3.24,36424.34696895022,10.606060606060606,28.596993557623477,31.20973514674302,29.587210689572895,1360.0,91.3920754744971,13188.538039,16.1,5.1316587786,16.9,36.5,9.2
51121,Montgomery County,98473,0.74,7.58,5.26,0.18,2.59,88.96,3.67,49734.61109420951,5.014754538138246,23.58401144594474,24.884199230975586,46.51703478494143,20612.0,95.7581214732511,5651.3562662,15.2,5.5978862787,15.8,31.7,8.2
51125,Nelson County,14790,1.29,1.26,12.43,0.12,2.33,87.29,4.84,33913.4375,13.404102195034184,35.129543001079526,21.03274559193955,30.433609211946745,1828.0,88.3485133656497,7841.724797,15.8,5.2903521891,17.0,37.2,8.7
51127,New Kent County,23897,2.27,2.18,15.28,0.26,3.14,83.28,4.03,36955.044699872284,5.858076349879628,29.33623753295884,31.199128740112346,33.60655737704918,1150.0,98.9090540965815,7632.1885128,13.1,4.6577661225,13.9,35.7,10.0
51131,Northampton County,12085,1.0,1.43,33.4,0.3,1.92,65.84,9.16,39913.13789359392,13.11511423550088,30.986379613356767,26.559753954305798,29.338752196836555,2089.0,87.1981916561992,12784.624936,18.6,5.0557584433,17.2,37.3,8.4
51133,Northumberland County,12029,0.91,0.89,25.82,0.17,1.82,74.05,4.26,36179.4403892944,10.800644814615797,27.931219774314886,27.53358409457281,33.73455131649651,1579.0,94.3444717940615,9179.7222208,16.5,5.0126065018,16.4,38.5,8.7
51135,Nottoway County,15594,1.31,0.91,39.94,0.2,1.76,59.45,4.8,37720.2361429977,16.249220073090292,39.4776718067564,28.219983955789285,16.053124164364025,2800.0,87.9311361290315,10188.554463,21.7,5.5569380519,21.4,39.6,6.6
51137,Orange County,37188,1.37,1.99,15.14,0.23,3.12,84.5,6.35,42386.77470698886,10.21708443020106,35.36683071992675,27.114570218610506,27.301514631261686,3257.0,91.6634414451956,8866.8510197,15.2,5.3410653913,16.4,36.8,8.0
51139,Page County,23807,0.83,0.79,3.18,0.1,1.53,96.67,2.46,37938.5073146541,17.582354296245104,45.53098364432159,22.189587652614605,14.697074406818706,3154.0,87.9752454602861,10503.859412,17.4,5.4717247852,20.1,38.3,
51141,Patrick County,17602,0.99,0.55,6.08,0.12,1.19,93.45,3.4,31597.64414135152,16.354519982303493,36.01238755345819,31.35230791918596,16.280784545052352,2481.0,83.7689778523859,12323.697743,17.1,5.4501879208,18.9,32.9,8.3
51143,Pittsylvania County,59972,0.78,0.84,22.02,0.11,1.44,77.71,2.98,42514.12498471322,15.79029316250723,38.05551848391832,31.16686685350772,14.987321500066727,7731.0,88.0162346604694,11015.141194,19.9,5.04706736,20.1,41.8,8.0
51145,Powhatan County,31136,0.88,1.06,10.0,0.17,1.75,89.66,2.59,46286.332179930796,8.461002785515321,27.58965877437326,31.193419220055713,32.75591922005571,1812.0,92.5420518061018,7217.5744596,12.8,5.1228747505,14.2,33.7,9.8
51147,Prince Edward County,21932,1.02,1.69,33.5,0.19,2.19,65.83,3.68,38664.38156359393,11.579196964906734,35.30667088207398,26.209294973126777,26.904837179892503,3407.0,86.7329652430741,10071.56187,20.3,5.4331298731,19.9,41.7,7.6
51149,Prince George County,42880,1.55,2.85,34.86,0.58,3.14,63.47,9.09,42904.74545035706,10.618892508143322,30.799855229822658,34.48787549764749,24.093376764386537,4017.0,96.1386683280823,6725.0459046,17.2,5.3048027853,17.0,42.4,8.6
51153,Prince William County,484472,2.16,12.27,24.66,0.42,4.88,65.94,25.41,54072.53367473899,10.052476699503721,19.93046270787539,26.34356213519629,43.6734984574246,30613.0,108.203949457045,5340.1088588,13.9,4.1457877934,11.6,35.7,9.5
51155,Pulaski County,33759,0.74,1.05,6.42,0.07,1.92,93.68,2.03,46237.66233766234,9.671590194846008,34.314110622250155,34.871935889377745,21.142363293526085,4420.0,86.3978433749324,11130.071605,16.2,5.4097261577,18.5,37.7,7.9
51157,Rappahannock County,7407,1.27,1.61,5.33,0.11,2.28,94.06,4.09,41730.326295585415,9.428879310344827,29.777298850574713,26.97557471264368,33.81824712643678,671.0,94.8481982901627,9801.5322602,13.7,5.0832091963,15.1,34.6,8.8
51159,Richmond County,9017,1.33,1.11,31.48,0.1,2.5,68.54,7.5,34375.83572110793,24.937361827560796,35.25423728813559,21.989683124539425,17.818717759764187,1250.0,92.5227247294995,8557.9858832,20.9,5.4513881564,20.6,38.8,9.0
51161,Roanoke County,96589,0.75,4.35,7.85,0.12,2.08,89.07,3.62,45434.86131985244,6.6984276864529235,27.074123352933604,28.69794125642016,37.529507704193314,7597.0,96.7910420196233,6933.0568413,13.3,5.043860378,14.3,34.5,9.0
51163,Rockbridge County,22641,1.29,1.16,4.46,0.1,1.78,94.82,2.18,34463.29161218009,9.389312977099237,34.257193188490895,26.189078097475043,30.164415736934817,2254.0,89.6558522277651,8992.3196548,15.5,5.2514567504,16.9,34.5,8.1
51165,Rockingham County,84394,1.1,1.48,3.78,0.11,1.71,95.27,8.18,49074.29567833698,12.8212271049516,36.363952921512634,21.989692875548435,28.825127097987323,6848.0,92.2768590414658,6389.1794038,14.7,5.1950034203,16.2,36.9,9.1
51167,Russell County,25550,0.63,0.47,1.61,0.06,0.94,98.2,1.48,44006.77436164669,17.06359591729914,40.779900549594345,29.604815493326353,12.551688039780162,4649.0,84.6097474014254,11386.584316,19.8,5.7771897551,21.6,40.1,7.5
51169,Scott County,21419,0.7,0.46,1.41,0.11,1.04,98.38,1.6,36484.856535600426,17.014297208640215,36.79519712817974,32.3079779662066,13.88252769697345,4049.0,81.1863856349701,11226.400145,19.1,5.8583879558,22.2,37.2,7.4
51171,Shenandoah County,44752,1.14,1.52,4.25,0.14,2.11,95.11,8.06,41975.99791286199,11.43227601910123,40.40985421080927,27.472249454476454,20.685620315613043,4361.0,90.2056590862733,7797.8333736,16.8,5.3792768489,17.8,37.9,8.4
51173,Smyth County,29477,0.63,0.77,3.29,0.08,1.25,96.52,2.35,39451.32851720338,15.299192364170338,38.5003671071953,28.749082232011748,17.45135829662261,5042.0,85.8353325745936,12359.616894,19.7,6.1562576043,21.8,39.9,7.6
51175,Southampton County,18006,1.19,0.99,35.3,0.16,1.92,64.33,2.49,46538.64059590317,13.22151707464491,32.97824116047144,34.83680870353581,18.96343306134784,2316.0,87.624214628351,9548.7878208,16.8,5.3082447452,17.0,37.7,9.0
51177,Spotsylvania County,143676,1.3,4.27,20.72,0.33,3.89,77.51,11.8,44949.70405032694,8.97229688260566,27.7073501089924,30.02899409536306,33.29135891303888,10287.0,102.615915654234,7311.5651538,14.6,4.9260050962,13.7,35.9,9.1
51179,Stafford County,160877,1.89,5.74,23.87,0.39,4.77,73.38,15.47,49074.258124629414,7.103179293227751,22.037387227672063,27.785328763345547,43.07410471575464,8443.0,105.319032100732,5839.8712821,12.9,4.558000306,11.8,37.5,9.5
51181,Surry County,6530,1.27,1.06,42.02,0.09,2.5,58.09,3.0,109674.4966442953,12.376735761722681,32.58200845240491,31.535520225397462,23.505735560474943,797.0,97.2886879570546,8784.9791277,19.3,5.3793085846,18.8,41.9,8.3
51183,Sussex County,10763,1.06,0.79,56.55,0.03,1.51,43.11,3.72,39682.26002430134,18.655967903711137,37.7382146439318,28.20962888665998,15.396188565697091,1616.0,91.1219309176524,12232.757521,21.2,5.3045124298,20.4,42.3,7.9
51185,Tazewell County,39925,0.61,1.05,4.25,0.07,1.3,95.36,1.11,37382.334609562815,13.645110301697477,38.89079788330699,31.523606624974228,15.940485190021306,7500.0,85.2305140641598,14596.678303,19.0,6.1579204609,21.0,36.4,7.1
51187,Warren County,40925,1.33,2.18,6.73,0.17,2.93,92.56,6.39,43570.93485398307,11.158438656518399,34.376091055093916,32.04036031003422,22.425109978353465,3699.0,96.7604419486485,9753.6756261,15.7,5.2927730992,17.0,36.3,8.4
51191,Washington County,53635,0.59,0.8,2.07,0.07,1.02,97.5,1.66,44045.81636993377,10.75287513351052,35.79820661218609,28.882982687101023,24.565935567202366,6900.0,85.8966420049897,10387.113675,15.9,5.6817145808,18.2,37.4,8.2
51193,Westmoreland County,18731,1.77,1.6,27.02,0.34,3.3,72.67,6.76,32624.09843020789,18.145219266714594,40.05751258087707,24.15528396836808,17.641984184040258,2812.0,91.3584072365435,9826.4090957,20.0,5.5189786762,20.1,38.7,
51195,Wise County,35647,0.55,0.7,6.95,0.05,1.24,93.02,1.34,34807.67181672882,19.64072777628188,34.51936761934069,29.568796399584567,16.27110820479286,6330.0,87.1459845226918,13641.794988,20.0,6.0201135872,21.6,43.5,6.6
51197,Wythe County,28178,0.69,0.89,3.91,0.07,1.6,96.07,1.47,37900.56847545219,9.86376546478602,35.743513214268525,34.29451692100323,20.098204399942233,4727.0,85.5149810144669,10797.201184,16.8,5.6750375938,19.3,39.6,7.9
51199,York County,70915,1.4,8.32,16.39,0.48,4.32,78.05,7.48,41902.710367017506,4.667636455632155,17.139965846562518,28.703645141568106,49.48875255623722,3559.0,98.9975329327359,4979.7559414,11.5,4.5604960837,11.3,33.7,9.3
51510,Alexandria city,154706,1.48,8.22,24.38,0.35,3.51,69.39,16.54,74287.27669014907,6.314918650611269,10.475561757848732,17.209135197920933,66.00038439361906,15125.0,119.861371274268,4555.464603,12.0,4.5483323011,9.7,30.5,
