,avg_unemployment,survey_year,Auth Identifier,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg
3513,3.6,2023,sar6nh,Still Looking,1,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,3,9,,0,1,0,1,1,0
3514,3.6,2023,pfr3yq,Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0,34,,0,0,0,0,0,0
3515,3.6,2023,htn9zzb,Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1,9,,0,1,0,0,0,0
3516,3.6,2023,ims7xp,Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1,43,3.94,0,1,0,0,0,0
3517,3.6,2023,jt5hg,Working,0,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,0,0,,0,0,0,0,0,0
3518,3.6,2023,jt5hg,Working,0,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,0,0,3.8,0,0,0,0,0,0
3519,3.6,2023,acf6nb,Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,1,,1,1,0,0,0,0
3520,3.6,2023,yh2sge,Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0,0,4.52,0,0,0,0,0,0
3521,3.6,2023,yh2sge,Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0,0,,0,0,0,0,0,0
3522,3.6,2023,cmh9ec,Continuing Education,3,Education - Kinesiology,Female,School of Education and Human Development,0,0,0,,0,1,1,0,0,0
3523,3.6,2023,mjc5nt,Working,1,Statistics,Male,College and Graduate School of Arts & Sciences,1,0,0,,0,1,0,0,0,0
3524,3.6,2023,ocr7zz,Still Looking,3,Environmental Thought & Practice - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1,13,,0,1,0,1,0,0
3525,3.6,2023,cva8vm,Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1,0,3.88,0,1,0,0,0,0
3526,3.6,2023,ht5fy,Working,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0,19,,0,1,0,0,0,0
3527,3.6,2023,jxl3drr,Continuing Education,2,Psychology,Female,College and Graduate School of Arts & Sciences,0,0,32,3.7,0,1,1,0,0,0
3528,3.6,2023,sab3hzc,Continuing Education,1,Statistics,Male,College and Graduate School of Arts & Sciences,0,4,88,3.83,0,1,1,0,1,1
3529,3.6,2023,sab3hzc,Continuing Education,1,Statistics,Male,College and Graduate School of Arts & Sciences,0,4,88,,0,1,1,0,1,1
3530,3.6,2023,ttl3gnw,Working,1,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1,0,,0,1,0,0,0,0
3531,3.6,2023,mm8dt,Fellowship,2,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,0,0,,0,1,0,0,0,0
3532,3.6,2023,han6spp,Still Looking,1,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,2,11,3.59,0,1,0,1,1,0
3533,3.6,2023,emm4aat,Still Looking,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0,0,4.5,0,0,0,1,0,0
3534,3.6,2023,emm4aat,Still Looking,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0,0,3.85,0,0,0,1,0,0
3535,3.6,2023,ket4uz,Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,2,126,,1,1,0,0,1,1
3536,3.6,2023,sm7pmd,Still Looking,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,2,92,,0,1,0,1,1,1
3537,3.6,2023,sm7pmd,Still Looking,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,2,92,3.67,0,1,0,1,1,1
3538,3.6,2023,djs5fud,Still Looking,1,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0,10,,0,1,0,1,0,0
3539,3.6,2023,agr4xr,Working,0,Education - Elementary Education,Female,School of Education and Human Development,1,1,0,,0,0,0,0,0,0
3540,3.6,2023,rl8tnp,Fellowship,1,Anthropology,Female,College and Graduate School of Arts & Sciences,0,0,28,,0,1,0,0,0,0
3541,3.6,2023,sg9dn,Continuing Education,0,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,0,2,0,,0,0,1,0,1,0
3542,3.6,2023,nrh9bef,Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1,109,,0,1,0,0,0,1
3543,3.6,2023,nrh9bef,Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1,109,3.9,0,1,0,0,0,1
3544,3.6,2023,jz8sxj,Still Looking,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0,1,3.9,0,0,0,1,0,0
3545,3.6,2023,jlh6za,Still Looking,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0,0,,0,0,0,1,0,0
3546,3.6,2023,hmf9kx,Still Looking,2,Mathematics,Male,College and Graduate School of Arts & Sciences,0,2,11,,0,1,0,1,1,0
3547,3.6,2023,lrw2xzr,Working,0,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,1,0,14,3.72,0,0,0,0,0,0
3548,3.6,2023,ap4yyx,Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,2,12,,0,1,0,0,1,0
3549,3.6,2023,hsh4zy,Working,1,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,2,7,,0,1,0,0,1,0
3550,3.6,2023,let7tu,Working,0,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,3,54,,0,0,0,0,1,1
3551,3.6,2023,cmp3smz,Continuing Education,2,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,1,8,3.76,0,1,1,0,0,0
3552,3.6,2023,lrb8jqn,Continuing Education,2,Economics,Male,College and Graduate School of Arts & Sciences,0,9,26,4.2,0,1,1,0,1,0
3553,3.6,2023,lrb8jqn,Continuing Education,2,Economics,Male,College and Graduate School of Arts & Sciences,0,9,26,,0,1,1,0,1,0
3554,3.6,2023,lrb8jqn,Continuing Education,2,Economics,Male,College and Graduate School of Arts & Sciences,0,9,26,3.62,0,1,1,0,1,0
3555,3.6,2023,keh6yu,Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0,4,4.3,0,0,0,0,0,0
