Q10.1_fds_2024,Number of Internships,How many internships (summer and/or academic year) did you have while attending the University of Virginia?_fds_2021,"If you participated in internships, how many internships did you have while attending the University of Virginia?_fds_2022",Primary Major,Recipient Primary Major_fds_2022,Recipient Primary Majors_fds_2021,First Gen,College_fds_2024,Career Readiness,Q5.4_fds_2024,Alignment,Q10.4_fds_2024,Q10.5_fds_2024,time of IPP,num_fairs,num_appointments,num_events_signed_up,num_events_checked_in,Internship Applications,Job Applications,On Campus Student Employment,Volunteer,Fellowship_application,Graduate School,Cooperative Education,Experiential Learning
,,,,,,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,Spanish,,False,,,,,,,,1.0,100.0,2.0,0.0,,,,,,,,
,,,,,,Biology,,,,,,,,,1.0,207.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Engineering - Biomedical Engineering,,False,,,,,,,,4.0,924.0,5.0,0.0,7.0,26.0,7.0,0.0,0.0,0.0,1.0,0.0
,,,2,,Engineering - Computer Science,,False,,,,,,,,1.0,60.0,,,,,,,,,,
,,,,Nursing,,,,,,,,,,,1.0,,,,,,,,,,,
,1,,,Data Science,,Statistics,True,,,,,,,,15.0,100.0,6.0,3.0,21.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0
,,,,,Biology,,False,,,,,,,,1.0,70.0,,,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,Biology,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,True,,,,,,,,1.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2,,,,,,,False,College and Graduate School of Arts & Sciences,8.0,,8.0,2.0,4.0,,14.0,60.0,8.0,2.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
,,,0,,Engineering - Aerospace Engineering,,False,,,,,,,,1.0,,1.0,0.0,,,,,,,,
0,,,,,,,False,School of Engineering & Applied Science,3.0,,4.0,4.0,8.0,,1.0,,1.0,1.0,105.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
3+,,,,,,,False,College and Graduate School of Arts & Sciences,5.0,Masters of Public Health,10.0,10.0,0.0,,6.0,,,,209.0,31.0,52.0,6.0,2.0,0.0,0.0,4.0
,,,,,,Education - Elementary Education,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,False,,,,,,,,1.0,,,,68.0,13.0,0.0,0.0,8.0,0.0,0.0,3.0
,,,,,,English,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Commerce,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,False,,,,,,,,1.0,188.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,6.0,140.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Biology,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,Commerce - Accounting,,False,,,,,,,,1.0,40.0,42.0,12.0,,,,,,,,
,,,,English,,,False,,,,,,,,6.0,530.0,68.0,16.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Government,,,,,,,,,1.0,,,,,,,,,,,
1,,,,,,,False,School of Engineering & Applied Science,7.0,Aerospace Engineering,10.0,10.0,7.0,,9.0,,,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0
,,,,,,,False,,,,,,,,1.0,60.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,1.0,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
,,,,,,English,,,,,,,,['Spring 2020'],1.0,72.0,,,,,,,,,,
,,,,,,,False,,,,,,,,1.0,100.0,,,60.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0
,,,,,Engineering - Civil Engineering,,False,,,,,,,,1.0,300.0,,,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
,0,,,Government,,,,,,,,,,,1.0,,,,24.0,48.0,0.0,0.0,4.0,0.0,0.0,0.0
,,2,,,,Architecture,,,,,,,,,1.0,,,,,,,,,,,
,,,,Public Policy & Leadership,,,,,,,,,,['Spring 23'],1.0,252.0,18.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Public Policy,,,,,,,,,,,1.0,,,,,,,,,,,
,,,0,,Italian,,False,,,,,,,,1.0,,,,,,,,,,,
,,2,,,,Music,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Engineering - Biomedical Engineering,,,,,,,,,2.0,376.0,1.0,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Education - Kinesiology,,,,,,,,,1.0,444.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,1.0,,3.0,3.0,91.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0
,,,,,,,,,,,,,,,1.0,,,,7.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,2.0,15.0,2.0,2.0,14.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0
,,,,Cognitive Science - Interdisciplinary,,,False,,,,,,,,1.0,,,,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,1.0,12.0,,,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Engineering - Biomedical Engineering,,,,,,,,,1.0,957.0,4.0,3.0,42.0,191.0,0.0,0.0,0.0,0.0,1.0,1.0
,,,,,,,False,,,,,,,,1.0,30.0,,,,,,,,,,
,,,,,Foreign Affairs,,False,,,,,,,,1.0,35.0,,,,,,,,,,
,,,,,,,False,,,,,,,,1.0,16.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
,,,1,,Engineering - Civil Engineering,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,,,,,,,,,1.0,52.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,True,,,,,,,,1.0,,,,,,,,,,,
,,,,English,,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,Commerce - Accounting,,False,,,,,,,,1.0,,27.0,0.0,,,,,,,,
,2,,,Economics,,,False,,,,,,,,2.0,35.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,Public Policy & Leadership,,False,,,,,,,,1.0,,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,1.0,9.0,,,,,,,,,,
,,,,,Public Policy & Leadership,,False,,,,,,,,1.0,,10.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,2.0
,,,,,,,False,,,,,,,,1.0,,,,,,,,,,,
,,,2,Public Policy,Government,,False,,,,,,,,3.0,664.0,7.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0
